Sensor,Sensor ID,Hour,Pedestrian_Count,Hour_24,Time_Period,Location_Type
Flinders La-Swanston St (West),41,5am,134.0,5,Night,Mixed Use
Pelham St (South),46,5am,1.0,5,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,5am,59.0,5,Night,Transport Hub
QVM-Queen St (East),48,5am,0.0,5,Night,Mixed Use
QVM-Therry St (South),49,5am,58.0,5,Night,Mixed Use
Faraday St-Lygon St (West),50,5am,24.0,5,Night,Mixed Use
QVM-Franklin St (North),51,5am,15.0,5,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,5am,15.0,5,Night,Mixed Use
Collins St (North),53,5am,9.0,5,Night,Mixed Use
Lincoln-Swanston (West),54,5am,6.0,5,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,5am,46.0,5,Night,Mixed Use
Bourke St Bridge,57,5am,0.0,5,Night,Outdoor
Bourke St - Spencer St (North),58,5am,45.0,5,Night,Mixed Use
RMIT Building 80,59,5am,17.0,5,Night,Mixed Use
RMIT Building 14,61,5am,17.0,5,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,5am,0.0,5,Night,Mixed Use
La Trobe St (North),62,5am,20.0,5,Night,Mixed Use
231 Bourke St,63,5am,7.0,5,Night,Mixed Use
Royal Pde - Grattan St,64,5am,0.0,5,Night,Mixed Use
Swanston St - City Square,65,5am,0.0,5,Night,Mixed Use
State Library- New,66,5am,24.0,5,Night,Mixed Use
Flinders Ln -Degraves St (South),67,5am,18.0,5,Night,Mixed Use
Flinders Ln -Degraves St (North),68,5am,3.0,5,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,5am,5.0,5,Night,Mixed Use
Errol Street (East),70,5am,1.0,5,Night,Mixed Use
Westwood Place,71,5am,2.0,5,Night,Mixed Use
Flinders St- ACMI,72,5am,11.0,5,Night,Mixed Use
Bourke St - Spencer St (South),73,5am,0.0,5,Night,Mixed Use
Spring St- Flinders St (West),75,5am,4.0,5,Night,Mixed Use
Macaulay Rd-Bellair St,76,5am,1.0,5,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,5am,11.0,5,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,5am,3.0,5,Night,Mixed Use
Flinders St (South),79,5am,40.0,5,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,5am,63.0,5,Night,Mixed Use
Macaulay Rd (North),85,5am,1.0,5,Night,Mixed Use
Queensberry St - Errol St (South),86,5am,2.0,5,Night,Mixed Use
Errol St (West),87,5am,11.0,5,Night,Mixed Use
Flagstaff station (East),88,5am,16.0,5,Night,Transport Hub
William St - Little Lonsdale St (West),89,5am,28.0,5,Night,Mixed Use
La Trobe St - William St (South),90,5am,12.0,5,Night,Mixed Use
114 Flinders St,91,5am,8.0,5,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,5am,2.0,5,Night,Outdoor
474 Flinders St,141,5am,25.0,5,Night,Mixed Use
Hamer Hall - River Side,142,5am,7.0,5,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,5am,0.0,5,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,5am,3.0,5,Night,Outdoor
Birrarung Marr - Federation Bridge,136,5am,14.0,5,Night,Outdoor
Boyd Park,140,5am,0.0,5,Night,Outdoor
I-Hub 892 Bourke Street,130,5am,0.0,5,Night,Mixed Use
510 Elizabeth St,83,5am,0.0,5,Night,Mixed Use
512 Elizabeth St,82,5am,0.0,5,Night,Mixed Use
514 Elizabeth St,158,5am,0.0,5,Night,Mixed Use
516 Elizabeth St,159,5am,0.0,5,Night,Mixed Use
Batman Park,160,5am,33.0,5,Night,Outdoor
City Baths,161,5am,0.0,5,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,5am,12.0,5,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,5am,15.0,5,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,5am,38.0,5,Night,Mixed Use
I-Hub 526 La Trobe Street,164,5am,11.0,5,Night,Mixed Use
475 Spencer Street,165,5am,5.0,5,Night,Mixed Use
484 Spencer Street,166,5am,1.0,5,Night,Mixed Use
,,5am,0.0,5,Night,Unknown
,,5am,0.0,5,Night,Unknown
Average Hourly Pedestrian Counts for Saturday over the past 52 weeks. ,,5am,0.0,5,Night,Mixed Use
Sensor,Sensor ID,5am,0.0,5,Night,Mixed Use
Bourke Street Mall (North),1,5am,18.0,5,Night,Retail
Bourke Street Mall (South),2,5am,13.0,5,Night,Retail
Melbourne Central,3,5am,79.0,5,Night,Transport Hub
Town Hall (West),4,5am,44.0,5,Night,Public Building
Princes Bridge,5,5am,40.0,5,Night,Outdoor
Flinders Street Station Underpass,6,5am,90.0,5,Night,Transport Hub
Birrarung Marr,7,5am,9.0,5,Night,Mixed Use
Webb Bridge,8,5am,5.0,5,Night,Outdoor
Southern Cross Station,9,5am,12.0,5,Night,Transport Hub
Victoria Point,10,5am,3.0,5,Night,Mixed Use
Waterfront City,11,5am,2.0,5,Night,Mixed Use
New Quay,12,5am,9.0,5,Night,Mixed Use
Sandridge Bridge,14,5am,43.0,5,Night,Outdoor
Collins Place (South),17,5am,30.0,5,Night,Mixed Use
Collins Place (North),18,5am,1.0,5,Night,Mixed Use
Chinatown-Swanston St (North),19,5am,18.0,5,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,5am,21.0,5,Night,Mixed Use
Bourke St-Russell St (West),21,5am,25.0,5,Night,Mixed Use
Flinders St-Elizabeth St (East),22,5am,75.0,5,Night,Mixed Use
Spencer St-Collins St (South),23,5am,28.0,5,Night,Mixed Use
Spencer St-Collins St (North),24,5am,79.0,5,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,5am,25.0,5,Night,Mixed Use
QV Market-Elizabeth St (West),26,5am,0.0,5,Night,Mixed Use
QV Market-Peel St,27,5am,11.0,5,Night,Mixed Use
The Arts Centre,28,5am,29.0,5,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,5am,25.0,5,Night,Mixed Use
Lonsdale St (South),30,5am,98.0,5,Night,Mixed Use
Lygon St (West),31,5am,13.0,5,Night,Mixed Use
Southbank,35,5am,69.0,5,Night,Mixed Use
Queen St (West),36,5am,17.0,5,Night,Mixed Use
Lygon St (East),37,5am,11.0,5,Night,Mixed Use
Alfred Place,39,5am,5.0,5,Night,Mixed Use
Lonsdale St-Spring St (West),40,5am,13.0,5,Night,Mixed Use
Grattan St-Swanston St (West),42,5am,3.0,5,Night,Mixed Use
Monash Rd-Swanston St (West),43,5am,3.0,5,Night,Mixed Use
Tin Alley-Swanston St (West),44,5am,1.0,5,Night,Mixed Use
Little Collins St-Swanston St (East),45,5am,38.0,5,Night,Mixed Use
Flinders La-Swanston St (West),41,5am,114.0,5,Night,Mixed Use
Pelham St (South),46,5am,1.0,5,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,5am,65.0,5,Night,Transport Hub
QVM-Queen St (East),48,5am,21.0,5,Night,Mixed Use
QVM-Therry St (South),49,5am,57.0,5,Night,Mixed Use
Faraday St-Lygon St (West),50,5am,13.0,5,Night,Mixed Use
QVM-Franklin St (North),51,5am,17.0,5,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,5am,20.0,5,Night,Mixed Use
Collins St (North),53,5am,12.0,5,Night,Mixed Use
Lincoln-Swanston (West),54,5am,10.0,5,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,5am,52.0,5,Night,Mixed Use
Bourke St Bridge,57,5am,0.0,5,Night,Outdoor
Bourke St - Spencer St (North),58,5am,48.0,5,Night,Mixed Use
RMIT Building 80,59,5am,31.0,5,Night,Mixed Use
RMIT Building 14,61,5am,26.0,5,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,5am,0.0,5,Night,Mixed Use
La Trobe St (North),62,5am,35.0,5,Night,Mixed Use
231 Bourke St,63,5am,15.0,5,Night,Mixed Use
Royal Pde - Grattan St,64,5am,0.0,5,Night,Mixed Use
Swanston St - City Square,65,5am,21.0,5,Night,Mixed Use
State Library- New,66,5am,31.0,5,Night,Mixed Use
Flinders Ln -Degraves St (South),67,5am,17.0,5,Night,Mixed Use
Flinders Ln -Degraves St (North),68,5am,1.0,5,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,5am,4.0,5,Night,Mixed Use
Errol Street (East),70,5am,3.0,5,Night,Mixed Use
Westwood Place,71,5am,12.0,5,Night,Mixed Use
Flinders St- ACMI,72,5am,22.0,5,Night,Mixed Use
Bourke St - Spencer St (South),73,5am,0.0,5,Night,Mixed Use
Spring St- Flinders St (West),75,5am,4.0,5,Night,Mixed Use
Macaulay Rd-Bellair St,76,5am,1.0,5,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,5am,5.0,5,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,5am,2.0,5,Night,Mixed Use
Flinders St (South),79,5am,55.0,5,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,5am,75.0,5,Night,Mixed Use
Macaulay Rd (North),85,5am,2.0,5,Night,Mixed Use
Queensberry St - Errol St (South),86,5am,1.0,5,Night,Mixed Use
Errol St (West),87,5am,7.0,5,Night,Mixed Use
Flagstaff station (East),88,5am,8.0,5,Night,Transport Hub
William St - Little Lonsdale St (West),89,5am,22.0,5,Night,Mixed Use
La Trobe St - William St (South),90,5am,15.0,5,Night,Mixed Use
114 Flinders St,91,5am,15.0,5,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,5am,0.0,5,Night,Outdoor
474 Flinders St,141,5am,35.0,5,Night,Mixed Use
Hamer Hall - River Side,142,5am,7.0,5,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,5am,0.0,5,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,5am,2.0,5,Night,Outdoor
Birrarung Marr - Federation Bridge,136,5am,2.0,5,Night,Outdoor
Boyd Park,140,5am,0.0,5,Night,Outdoor
I-Hub 892 Bourke Street,130,5am,0.0,5,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,5am,15.0,5,Night,Mixed Use
Bourke Street Mall (North),1,5am,14.0,5,Night,Retail
Bourke Street Mall (South),2,5am,14.0,5,Night,Retail
Melbourne Central,3,5am,80.0,5,Night,Transport Hub
Town Hall (West),4,5am,87.0,5,Night,Public Building
Princes Bridge,5,5am,54.0,5,Night,Outdoor
Flinders Street Station Underpass,6,5am,105.0,5,Night,Transport Hub
Birrarung Marr,7,5am,0.0,5,Night,Mixed Use
Webb Bridge,8,5am,0.0,5,Night,Outdoor
Southern Cross Station,9,5am,17.0,5,Night,Transport Hub
Victoria Point,10,5am,6.0,5,Night,Mixed Use
Waterfront City,11,5am,5.0,5,Night,Mixed Use
New Quay,12,5am,19.0,5,Night,Mixed Use
Sandridge Bridge,14,5am,62.0,5,Night,Outdoor
Collins Place (South),17,5am,17.0,5,Night,Mixed Use
Collins Place (North),18,5am,1.0,5,Night,Mixed Use
Chinatown-Swanston St (North),19,5am,0.0,5,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,5am,25.0,5,Night,Mixed Use
Bourke St-Russell St (West),21,5am,16.0,5,Night,Mixed Use
Flinders St-Elizabeth St (East),22,5am,69.0,5,Night,Mixed Use
Spencer St-Collins St (South),23,5am,22.0,5,Night,Mixed Use
Spencer St-Collins St (North),24,5am,107.0,5,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,5am,23.0,5,Night,Mixed Use
QV Market-Elizabeth St (West),26,5am,0.0,5,Night,Mixed Use
QV Market-Peel St,27,5am,17.0,5,Night,Mixed Use
The Arts Centre,28,5am,35.0,5,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,5am,57.0,5,Night,Mixed Use
Lonsdale St (South),30,5am,148.0,5,Night,Mixed Use
Lygon St (West),31,5am,17.0,5,Night,Mixed Use
Southbank,35,5am,61.0,5,Night,Mixed Use
Queen St (West),36,5am,19.0,5,Night,Mixed Use
Lygon St (East),37,5am,12.0,5,Night,Mixed Use
Alfred Place,39,5am,0.0,5,Night,Mixed Use
Lonsdale St-Spring St (West),40,5am,7.0,5,Night,Mixed Use
Grattan St-Swanston St (West),42,5am,0.0,5,Night,Mixed Use
Monash Rd-Swanston St (West),43,5am,0.0,5,Night,Mixed Use
Tin Alley-Swanston St (West),44,5am,0.0,5,Night,Mixed Use
Little Collins St-Swanston St (East),45,5am,46.0,5,Night,Mixed Use
Flinders La-Swanston St (West),41,5am,183.0,5,Night,Mixed Use
Pelham St (South),46,5am,0.0,5,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,5am,57.0,5,Night,Transport Hub
QVM-Queen St (East),48,5am,0.0,5,Night,Mixed Use
QVM-Therry St (South),49,5am,44.0,5,Night,Mixed Use
Faraday St-Lygon St (West),50,5am,10.0,5,Night,Mixed Use
QVM-Franklin St (North),51,5am,12.0,5,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,5am,32.0,5,Night,Mixed Use
Collins St (North),53,5am,18.0,5,Night,Mixed Use
Lincoln-Swanston (West),54,5am,10.0,5,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,5am,44.0,5,Night,Mixed Use
Bourke St Bridge,57,5am,0.0,5,Night,Outdoor
Bourke St - Spencer St (North),58,5am,48.0,5,Night,Mixed Use
RMIT Building 80,59,5am,21.0,5,Night,Mixed Use
RMIT Building 14,61,5am,23.0,5,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,5am,0.0,5,Night,Mixed Use
La Trobe St (North),62,5am,23.0,5,Night,Mixed Use
231 Bourke St,63,5am,7.0,5,Night,Mixed Use
Royal Pde - Grattan St,64,5am,0.0,5,Night,Mixed Use
Swanston St - City Square,65,5am,0.0,5,Night,Mixed Use
State Library- New,66,5am,17.0,5,Night,Mixed Use
Flinders Ln -Degraves St (South),67,5am,31.0,5,Night,Mixed Use
Flinders Ln -Degraves St (North),68,5am,0.0,5,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,5am,10.0,5,Night,Mixed Use
Errol Street (East),70,5am,3.0,5,Night,Mixed Use
Westwood Place,71,5am,2.0,5,Night,Mixed Use
Flinders St- ACMI,72,5am,5.0,5,Night,Mixed Use
Bourke St - Spencer St (South),73,5am,0.0,5,Night,Mixed Use
Spring St- Flinders St (West),75,5am,1.0,5,Night,Mixed Use
Macaulay Rd-Bellair St,76,5am,1.0,5,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,5am,9.0,5,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,5am,2.0,5,Night,Mixed Use
Flinders St (South),79,5am,77.0,5,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,5am,69.0,5,Night,Mixed Use
Macaulay Rd (North),85,5am,3.0,5,Night,Mixed Use
Queensberry St - Errol St (South),86,5am,2.0,5,Night,Mixed Use
Errol St (West),87,5am,3.0,5,Night,Mixed Use
Flagstaff station (East),88,5am,19.0,5,Night,Transport Hub
William St - Little Lonsdale St (West),89,5am,13.0,5,Night,Mixed Use
La Trobe St - William St (South),90,5am,6.0,5,Night,Mixed Use
114 Flinders St,91,5am,15.0,5,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,5am,1.0,5,Night,Outdoor
474 Flinders St,141,5am,63.0,5,Night,Mixed Use
Hamer Hall - River Side,142,5am,0.0,5,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,5am,1.0,5,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,5am,6.0,5,Night,Outdoor
Birrarung Marr - Federation Bridge,136,5am,1.0,5,Night,Outdoor
Boyd Park,140,5am,0.0,5,Night,Outdoor
I-Hub 892 Bourke Street,130,5am,2.0,5,Night,Mixed Use
510 Elizabeth St,83,5am,0.0,5,Night,Mixed Use
512 Elizabeth St,82,5am,0.0,5,Night,Mixed Use
514 Elizabeth St,158,5am,0.0,5,Night,Mixed Use
516 Elizabeth St,159,5am,0.0,5,Night,Mixed Use
Batman Park,160,5am,38.0,5,Night,Outdoor
City Baths,161,5am,0.0,5,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,5am,0.0,5,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,5am,22.0,5,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,5am,43.0,5,Night,Mixed Use
I-Hub 526 La Trobe Street,164,5am,11.0,5,Night,Mixed Use
475 Spencer Street,165,5am,4.0,5,Night,Mixed Use
484 Spencer Street,166,5am,2.0,5,Night,Mixed Use
,,5am,0.0,5,Night,Unknown
,,5am,0.0,5,Night,Unknown
Average Hourly Pedestrian Counts for Sunday over the past 4 weeks. ,,5am,0.0,5,Night,Mixed Use
Sensor,Sensor ID,5am,0.0,5,Night,Mixed Use
Bourke Street Mall (North),1,5am,21.0,5,Night,Retail
Bourke Street Mall (South),2,5am,17.0,5,Night,Retail
Melbourne Central,3,5am,71.0,5,Night,Transport Hub
Town Hall (West),4,5am,80.0,5,Night,Public Building
Princes Bridge,5,5am,55.0,5,Night,Outdoor
Flinders Street Station Underpass,6,5am,89.0,5,Night,Transport Hub
Birrarung Marr,7,5am,0.0,5,Night,Mixed Use
Webb Bridge,8,5am,4.0,5,Night,Outdoor
Southern Cross Station,9,5am,8.0,5,Night,Transport Hub
Victoria Point,10,5am,1.0,5,Night,Mixed Use
Waterfront City,11,5am,4.0,5,Night,Mixed Use
New Quay,12,5am,14.0,5,Night,Mixed Use
Sandridge Bridge,14,5am,53.0,5,Night,Outdoor
Collins Place (South),17,5am,10.0,5,Night,Mixed Use
Collins Place (North),18,5am,1.0,5,Night,Mixed Use
Chinatown-Swanston St (North),19,5am,28.0,5,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,5am,51.0,5,Night,Mixed Use
Bourke St-Russell St (West),21,5am,23.0,5,Night,Mixed Use
Flinders St-Elizabeth St (East),22,5am,85.0,5,Night,Mixed Use
Spencer St-Collins St (South),23,5am,26.0,5,Night,Mixed Use
Spencer St-Collins St (North),24,5am,74.0,5,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,5am,21.0,5,Night,Mixed Use
QV Market-Elizabeth St (West),26,5am,0.0,5,Night,Mixed Use
QV Market-Peel St,27,5am,16.0,5,Night,Mixed Use
The Arts Centre,28,5am,33.0,5,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,5am,25.0,5,Night,Mixed Use
Lonsdale St (South),30,5am,136.0,5,Night,Mixed Use
Lygon St (West),31,5am,10.0,5,Night,Mixed Use
Southbank,35,5am,59.0,5,Night,Mixed Use
Queen St (West),36,5am,19.0,5,Night,Mixed Use
Lygon St (East),37,5am,6.0,5,Night,Mixed Use
Alfred Place,39,5am,0.0,5,Night,Mixed Use
Lonsdale St-Spring St (West),40,5am,8.0,5,Night,Mixed Use
Grattan St-Swanston St (West),42,5am,1.0,5,Night,Mixed Use
Monash Rd-Swanston St (West),43,5am,0.0,5,Night,Mixed Use
Tin Alley-Swanston St (West),44,5am,0.0,5,Night,Mixed Use
Little Collins St-Swanston St (East),45,5am,61.0,5,Night,Mixed Use
Flinders La-Swanston St (West),41,5am,201.0,5,Night,Mixed Use
Pelham St (South),46,5am,0.0,5,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,5am,70.0,5,Night,Transport Hub
QVM-Queen St (East),48,5am,0.0,5,Night,Mixed Use
QVM-Therry St (South),49,5am,52.0,5,Night,Mixed Use
Faraday St-Lygon St (West),50,5am,8.0,5,Night,Mixed Use
QVM-Franklin St (North),51,5am,13.0,5,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,5am,24.0,5,Night,Mixed Use
Collins St (North),53,5am,11.0,5,Night,Mixed Use
Lincoln-Swanston (West),54,5am,6.0,5,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,5am,46.0,5,Night,Mixed Use
Bourke St Bridge,57,5am,0.0,5,Night,Outdoor
Bourke St - Spencer St (North),58,5am,47.0,5,Night,Mixed Use
RMIT Building 80,59,5am,23.0,5,Night,Mixed Use
RMIT Building 14,61,5am,24.0,5,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,5am,0.0,5,Night,Mixed Use
La Trobe St (North),62,5am,16.0,5,Night,Mixed Use
231 Bourke St,63,5am,8.0,5,Night,Mixed Use
Royal Pde - Grattan St,64,5am,0.0,5,Night,Mixed Use
Swanston St - City Square,65,5am,0.0,5,Night,Mixed Use
State Library- New,66,5am,39.0,5,Night,Mixed Use
Flinders Ln -Degraves St (South),67,5am,9.0,5,Night,Mixed Use
Flinders Ln -Degraves St (North),68,5am,0.0,5,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,5am,4.0,5,Night,Mixed Use
Errol Street (East),70,5am,3.0,5,Night,Mixed Use
Westwood Place,71,5am,1.0,5,Night,Mixed Use
Flinders St- ACMI,72,5am,11.0,5,Night,Mixed Use
Bourke St - Spencer St (South),73,5am,0.0,5,Night,Mixed Use
Spring St- Flinders St (West),75,5am,4.0,5,Night,Mixed Use
Macaulay Rd-Bellair St,76,5am,3.0,5,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,5am,7.0,5,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,5am,3.0,5,Night,Mixed Use
Flinders St (South),79,5am,59.0,5,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,5am,85.0,5,Night,Mixed Use
Macaulay Rd (North),85,5am,2.0,5,Night,Mixed Use
Queensberry St - Errol St (South),86,5am,5.0,5,Night,Mixed Use
Errol St (West),87,5am,7.0,5,Night,Mixed Use
Flagstaff station (East),88,5am,21.0,5,Night,Transport Hub
William St - Little Lonsdale St (West),89,5am,24.0,5,Night,Mixed Use
La Trobe St - William St (South),90,5am,12.0,5,Night,Mixed Use
114 Flinders St,91,5am,14.0,5,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,5am,3.0,5,Night,Outdoor
474 Flinders St,141,5am,45.0,5,Night,Mixed Use
Hamer Hall - River Side,142,5am,4.0,5,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,5am,0.0,5,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,5am,4.0,5,Night,Outdoor
Birrarung Marr - Federation Bridge,136,5am,13.0,5,Night,Outdoor
Boyd Park,140,5am,0.0,5,Night,Outdoor
I-Hub 892 Bourke Street,130,5am,0.0,5,Night,Mixed Use
510 Elizabeth St,83,5am,0.0,5,Night,Mixed Use
512 Elizabeth St,82,5am,0.0,5,Night,Mixed Use
514 Elizabeth St,158,5am,0.0,5,Night,Mixed Use
516 Elizabeth St,159,5am,0.0,5,Night,Mixed Use
Batman Park,160,5am,38.0,5,Night,Outdoor
City Baths,161,5am,0.0,5,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,5am,12.0,5,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,5am,14.0,5,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,5am,35.0,5,Night,Mixed Use
I-Hub 526 La Trobe Street,164,5am,14.0,5,Night,Mixed Use
475 Spencer Street,165,5am,4.0,5,Night,Mixed Use
484 Spencer Street,166,5am,1.0,5,Night,Mixed Use
,,5am,0.0,5,Night,Unknown
,,5am,0.0,5,Night,Unknown
Average Hourly Pedestrian Counts for Sunday over the past 52 weeks. ,,5am,0.0,5,Night,Mixed Use
Sensor,Sensor ID,5am,0.0,5,Night,Mixed Use
Bourke Street Mall (North),1,5am,22.0,5,Night,Retail
Bourke Street Mall (South),2,5am,18.0,5,Night,Retail
Melbourne Central,3,5am,102.0,5,Night,Transport Hub
Town Hall (West),4,5am,60.0,5,Night,Public Building
Princes Bridge,5,5am,44.0,5,Night,Outdoor
Flinders Street Station Underpass,6,5am,106.0,5,Night,Transport Hub
Birrarung Marr,7,5am,5.0,5,Night,Mixed Use
Webb Bridge,8,5am,3.0,5,Night,Outdoor
Southern Cross Station,9,5am,10.0,5,Night,Transport Hub
Victoria Point,10,5am,3.0,5,Night,Mixed Use
Waterfront City,11,5am,1.0,5,Night,Mixed Use
New Quay,12,5am,9.0,5,Night,Mixed Use
Sandridge Bridge,14,5am,55.0,5,Night,Outdoor
Collins Place (South),17,5am,17.0,5,Night,Mixed Use
Collins Place (North),18,5am,0.0,5,Night,Mixed Use
Chinatown-Swanston St (North),19,5am,30.0,5,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,5am,48.0,5,Night,Mixed Use
Bourke St-Russell St (West),21,5am,41.0,5,Night,Mixed Use
Flinders St-Elizabeth St (East),22,5am,98.0,5,Night,Mixed Use
Spencer St-Collins St (South),23,5am,28.0,5,Night,Mixed Use
Spencer St-Collins St (North),24,5am,82.0,5,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,5am,24.0,5,Night,Mixed Use
QV Market-Elizabeth St (West),26,5am,0.0,5,Night,Mixed Use
QV Market-Peel St,27,5am,14.0,5,Night,Mixed Use
The Arts Centre,28,5am,27.0,5,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,5am,17.0,5,Night,Mixed Use
Lonsdale St (South),30,5am,150.0,5,Night,Mixed Use
Lygon St (West),31,5am,11.0,5,Night,Mixed Use
Southbank,35,5am,75.0,5,Night,Mixed Use
Queen St (West),36,5am,27.0,5,Night,Mixed Use
Lygon St (East),37,5am,8.0,5,Night,Mixed Use
Alfred Place,39,5am,4.0,5,Night,Mixed Use
Lonsdale St-Spring St (West),40,5am,9.0,5,Night,Mixed Use
Grattan St-Swanston St (West),42,5am,3.0,5,Night,Mixed Use
Monash Rd-Swanston St (West),43,5am,1.0,5,Night,Mixed Use
Tin Alley-Swanston St (West),44,5am,0.0,5,Night,Mixed Use
Little Collins St-Swanston St (East),45,5am,68.0,5,Night,Mixed Use
Flinders La-Swanston St (West),41,5am,147.0,5,Night,Mixed Use
Pelham St (South),46,5am,1.0,5,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,5am,84.0,5,Night,Transport Hub
QVM-Queen St (East),48,5am,20.0,5,Night,Mixed Use
QVM-Therry St (South),49,5am,56.0,5,Night,Mixed Use
Faraday St-Lygon St (West),50,5am,8.0,5,Night,Mixed Use
QVM-Franklin St (North),51,5am,16.0,5,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,5am,31.0,5,Night,Mixed Use
Collins St (North),53,5am,14.0,5,Night,Mixed Use
Lincoln-Swanston (West),54,5am,12.0,5,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,5am,62.0,5,Night,Mixed Use
Bourke St Bridge,57,5am,0.0,5,Night,Outdoor
Bourke St - Spencer St (North),58,5am,46.0,5,Night,Mixed Use
RMIT Building 80,59,5am,32.0,5,Night,Mixed Use
RMIT Building 14,61,5am,29.0,5,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,5am,0.0,5,Night,Mixed Use
La Trobe St (North),62,5am,32.0,5,Night,Mixed Use
231 Bourke St,63,5am,23.0,5,Night,Mixed Use
Royal Pde - Grattan St,64,5am,0.0,5,Night,Mixed Use
Swanston St - City Square,65,5am,33.0,5,Night,Mixed Use
State Library- New,66,5am,44.0,5,Night,Mixed Use
Flinders Ln -Degraves St (South),67,5am,15.0,5,Night,Mixed Use
Flinders Ln -Degraves St (North),68,5am,0.0,5,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,5am,3.0,5,Night,Mixed Use
Errol Street (East),70,5am,3.0,5,Night,Mixed Use
Westwood Place,71,5am,5.0,5,Night,Mixed Use
Flinders St- ACMI,72,5am,18.0,5,Night,Mixed Use
Bourke St - Spencer St (South),73,5am,0.0,5,Night,Mixed Use
Spring St- Flinders St (West),75,5am,3.0,5,Night,Mixed Use
Macaulay Rd-Bellair St,76,5am,1.0,5,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,5am,5.0,5,Night,Mixed Use
